id;treatment;barrierDistance;treeCover;shrubCover;herbHeight;conf.low;conf.high;targetClass;nontargetClass;targetOrder;nontargetOrder;targetAlliance;nontargetAlliance;targetAssociation;nontargetAssociation;speciesRichness;floodRichness;chwetRichness;x;cwmAbuN;cwmAbuF;fdisAbuLHS;fdisAbuLdmc;cwmAbuLdmc;fdisAbuSeedmass;cwmAbuSeedmass;fdisAbuHeight;cwmAbuHeight
IN1;behind_dam;205;18,75;8,75;80;1;1;46,50;0;12,75;0,0;1,0;0,00;0,5;9,25;23;4;5;-0,403466859521069;5,78038379530917;8,16040100250627;0,870063432331179;0,740149012853354;277,769744294207;0,236600495854388;1,33254864875922;0,216189577965203;0,668000164277534
IN2;behind_dam;239;37,50;18,75;70;2;2;39,00;0;6,00;0,0;0,5;0,00;0,5;2,00;27;4;7;-0,311668691801095;5,76805251641138;8,32000000000000;0,911136983422056;0,775627326876568;279,711044019678;0,257880309089140;1,15684194110361;0,164089858554789;0,732224079887520
IN3;behind_dam;273;37,50;18,75;50;3;3;92,50;0;15,50;0,0;3,0;0,00;2,0;19,75;32;4;4;-0,933193481260421;5,01024590163934;5,94919168591224;1,209101471152960;0,817128874504148;282,821514042762;0,337773199609546;1,92473925413283;0,659767110393477;0,393295720244364
IN4;behind_dam;353;37,50;18,75;60;4;4;32,00;0;7,00;0,0;1,5;0,00;0,5;10,25;26;3;4;-0,294182455602440;5,73225806451613;7,90277777777778;0,754746134968009;0,546830844434122;290,562374800315;0,299341850038715;1,35464218279043;0,291180765929152;0,745140523976448
IN5;behind_dam;387;87,50;18,75;40;5;5;100,25;0;54,75;0,0;4,5;0,50;0,5;39,50;25;1;4;-1,054971547915010;6,95529411764706;5,88888888888889;0,706371327752205;0,402122612607938;232,480251218895;0,202230819308747;1,96114051528115;0,430884810952966;0,348202334247668
IN6;behind_dam;421;37,50;18,75;40;6;6;112,50;0;53,75;0,0;3,5;0,00;0,5;39,50;37;2;9;-0,737381019460173;6,79708029197080;6,79265091863517;0,956375390042540;0,713110849602930;265,130015432810;0,264847453201195;2,07528691655039;0,367119028217640;0,478365105286723
AC1;no_dam;205;87,50;62,50;40;7;7;70,00;0;23,75;0,0;4,0;8,75;1,0;9,25;36;4;6;-0,903344795221601;5,57260273972603;5,32442748091603;1,246075773062030;0,780762628640550;284,079863758483;0,471245464995180;2,31460407645893;0,564339100335708;0,405212039232461
AC2;no_dam;239;62,50;37,50;40;8;8;82,25;0;35,00;0,0;3,0;1,00;0,5;21,25;29;3;3;-0,998617023298238;6,37621359223301;5,67054263565891;1,114976674322260;0,728514852127971;259,927742952202;0,372482546248641;2,08057739131312;0,489022994347700;0,368388561837503
AC3;no_dam;273;87,50;18,75;40;9;9;82,75;0;31,25;0,5;1,5;4,00;0,5;19,75;38;4;7;-0,877987042368111;6,66804123711340;6,04615384615385;1,038760806649460;0,752172765965756;275,415967812616;0,386005785186369;1,93631808898364;0,333816580986971;0,415618693023228
AC4;no_dam;380;62,50;18,75;40;10;10;67,75;1;13,50;0,0;4,5;2,00;0,5;23,25;39;3;7;-0,552027116760320;6,87234042553191;6,32669322709163;1,072932289990290;0,744564815332418;288,585531036224;0,431959639754643;1,97249945718840;0,331888307337106;0,575781450351185
AC5;no_dam;414;62,50;18,75;50;11;11;40,50;0;7,00;0,0;2,0;0,50;0,0;10,75;24;1;4;-0,667352578138449;7,02644230769231;6,18987341772152;1,049893141851030;0,793176196514599;322,914323833611;0,442873233539081;2,07245637514831;0,202558878640014;0,513065081088073
AC6;no_dam;448;62,50;37,50;50;12;12;48,00;0;26,75;0,0;2,0;4,00;1,0;9,75;29;3;3;-0,819281496121045;6,89298892988930;6,09756097560976;1,022914028535080;0,719637111770381;271,977380531379;0,338266179366081;2,06554623883057;0,365160074267178;0,440748220071351
