name,IN1,IN2,IN3,IN4,IN5,IN6,AC1,AC2,AC3,AC4,AC5,AC6
Acer_pseudoplatanus,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.5
Aconitum_lycoctonum,0,0,0,0.5,0,0,0,0,0,0,0,0
Aegopodium_podagraria,8.75,2,18.75,8.75,37.5,37.5,8.75,18.75,18.75,18.75,8.75,8.75
Agrostis_gigantea,0,0,0,0,0,0,0,0,0.5,0,0,0
Agrostis_stolonifera_agg,0,0,0,0,0,0,0,0,0,0,0,0.5
Alnus_incana,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
Angelica_sylvestris,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0
Aquilegia_atrata,0.5,0,0,0,0,0,0,0,0,0,0,0
Asarum_europaeum,2,0.5,4,2,8.75,8.75,4,8.75,4,2,2,0
Calamagrostis_epigejos,0,0.5,4,0,0,0,4,2,0.5,2,0,0
Cardamine_impatiens,0,0,0,0,0,0,0,0,0.5,0,0.5,0
Cardamine_trifolia,0,0,0,0,0,0,0,0.5,4,0,0.5,4
Carduus_personata,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0.5
Carex_acutiformis,62.5,62.5,18.75,37.5,0.5,18.75,0,0.5,0.5,0.5,0.5,0
Carex_alba,0,0.5,37.5,0,2,0,18.75,8.75,0.5,0,0,0
Carex_digitata,0,0,0,0,0,0,0,0,0.5,0,0,0
Carex_ornithopoda_sstr,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0
Carex_pendula,0,0,0,0,2,0.5,2,0,0,0,0,0
Carex_sylvatica,0,0,0,0.5,0,0,0,0,0,0.5,0,0
Chaerophyllum_hirsutum_sstr,0,0,0,0,0,0,0,0,0,0,0.5,0
Cicuta_virosa,0.5,0,0,0,0,0,0,0,0,0,0,0
Cirsium_arvense,0,0.5,0,0,0,0,0,0,0,0,0,0
Cirsium_oleraceum,8.75,8.75,8.75,2,0,2,0,0,0,0,0,0
Clematis_vitalba,0,0,0.5,0,0.5,0,0,0,0,0,0,0
Convallaria_majalis,0,0,0,0,0,0,0,0,0.5,0,0,0
Cornus_sanguinea,0,0,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5
Corydalis_cava,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,2,0.5
Crataegus_monogyna,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Dactylis_glomerata,0,0,0,0,0,0,0,0,0.5,0,0,0
Daphne_mezereum,0,0,0.5,0,0,0,0,0,0.5,0,0,0
Deschampsia_cespitosa,0,0.5,0.5,4,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Dipsacus_pilosus,0,0,0,0,0,0,0,0,0.5,0,0,0
Dryopteris_carthusiana,0,0,0,0.5,0,0,0,0,0,0,0,0
Equisetum_arvense,0.5,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0.5
Equisetum_hyemale,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Eupatorium_cannabinum,8.75,8.75,4,0.5,0.5,0.5,0,0.5,2,4,0.5,0.5
Fagus_sylvatica,0,0,0.5,0,0,0,0,0,0,0,0,0
Filipendula_ulmaria,2,0.5,2,0.5,0.5,2,0,0,0.5,0,0,0.5
Fraxinus_excelsior,0.5,0.5,0.5,0.5,0.5,2,2,0.5,0.5,0.5,0,0.5
Galium_aparine,0,0,0,0,0,0,0,0,0,0.5,2,0
Galium_mollugo_agg,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5
Geranium_phaeum,0,0,0,0,0,0,0,0.5,0,0,0,0
Geranium_robertianum,0,0,0,0,0,0,0.5,0,0,0,0,0
Geum_urbanum,0,0,0,0,0,0.5,0,0,0,0,0,0.5
Glechoma_hederacea,0,0,0,0,0,0.5,0.5,0,0,0.5,2,0
Gymnadenia_odoratissima,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Holcus_lanatus,0,0,0.5,0.5,2,2,8.75,8.75,18.75,8.75,2,4
Holcus_mollis,0,0,0,0,0,0,0,0,0.5,0,0,0
Humulus_lupulus,0,0,0,0,0,0,2,4,4,8.75,0,0
Hypericum_hirsutum,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0
Hypericum_tetrapterum,0,0,0,0,0,0.5,0,0,0,0,0,0
Knautia_dipsacifolia,0,0,0.5,2,0.5,0,0,0,0,0,0,0
Lamium_maculatum,0,0,0,0,0,0,0,0,0,2,4,2
Lathyrus_pratensis,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0
Leucanthemum_vulgare,0,0,0,0,0,0,0,0,0,0.5,0,0
Ligustrum_vulgare,0,0,0,0,0,0.5,0,2,0,0,0,0
Lonicera_xylosteum,0.5,0.5,2,0,0,0.5,0.5,0,0,0,0.5,0.5
Lycopus_europaeus,1,0,0,0,0,0,0,0,0,0,0,0
Lysimachia_vulgaris,0,0,0,0.5,0,0,0.5,0,0,0,0,0
Melica_nutans,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0
Mentha_aquatica,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
Mentha_aquatica_x_spicata,0,0,0,0,0,0,0,0,0,0.5,0,0
Mercurialis_perennis,8.75,4,4,2,37.5,37.5,4,18.75,18.75,4,0,18.75
Molinia_arundinacea,0,0.5,0,0,0,0,0,0,0.5,0,0,0
Molinia_caerulea,0,0,0,0,0,0,0,0,0,0.5,0,0
Neottia_ovata,0,0,0,0,0,0.5,0,0,0,0,0,0
Petasites_hybridus,0,4,0,0,0,0,0,0,0,0,0,0
