name;abb;IN1;IN2;IN3;IN4;IN5;IN6;AC1;AC2;AC3;AC4;AC5;AC6;Extra1;Extra2;Extra3;Extra4
Acer_pseudoplatanus;Acerpseu;0;4;0;2;0;0;2;0;0;0;4;0;2;0,5;0;0
Alnus_incana;Alnuinca;8,75;2;0;2;37,5;4;18,75;8,75;4;37,5;18,75;18,75;8,75;8,75;8,75;8,75
Cornus_sanguinea;Cornsang;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0
Crataegus_monogyna;Cratmono;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0
Euonymus_europaeus;Euoneuro;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Fraxinus_excelsior;Fraxexce;8,75;8,75;8,75;8,75;37,5;18,75;62,5;8,75;8,75;18,75;4;0;0;0;2;4
Lonicera_xylosteum;Lonixylo;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Picea_abies;Piceabie;0;18,75;4;0;0;0;0;0;0;2;0;0;0;0;0;0
Prunus_padus;Prunpadu;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Salix_alba;Salialba;0;0;0;8,75;0;0;0;0;0;0;0;8,75;0;0;18,75;0
Salix_alba_x_eleagnos;Salialxel;0;0;8,75;0;0;0;0;8,75;4;0,5;2;0;0;0;0;0
Salix_eleagnos;Salielea;0;0;0;0;0;0;0;0;0;0;0,5;18,75;0;0;0;0
Ulmus_glabra;Ulmuglab;0;0;0;0;0;0;0;18,75;37,5;2;0;18,75;4;37,5;8,75;0
Acer_pseudoplatanus;Acerpseu;0;0;0;0;0;0;0,5;0,5;0;0,5;0;0;0;0;2;0,5
Alnus_incana;Alnuinca;0,5;4;0;0,5;0,5;0,5;0;4;4;0;0;0;0;0;0;18,75
Cornus_sanguinea;Cornsang;0,5;0;0;2;0,5;2;8,75;4;2;4;4;8,75;0,5;0;4;0
Corylus_avellana;Coryavel;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0
Crataegus_monogyna;Cratmono;0;0;0;0;0,5;0;4;0,5;0;0,5;0;0,5;0;0,5;0;0,5
Daphne_mezereum;Daphmeze;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fraxinus_excelsior;Fraxexce;0;0,5;2;2;4;4;8,75;8,75;0,5;0;0,5;0;0,5;0;0;0
Ligustrum_vulgare;Liguvulg;0;0;0;0;0;2;0;4;0;0;0;0;2;0,5;4;0
