name;descriptor;nomenclature;abb;nameTraits;layer;lifeform;lifeformEllenberg;ldmc;height;seedmass;l;f;n;flood;chwet;legal;rlg;rlb;neophyte;continuity;sociality
Acer_pseudoplatanus;L.;PL;Acerpseu;Acer_pseudoplatanus;tree;wood;P;NA;NA;NA;NA;6;7;no;no;NA;NA;NA;no;6;NA
Alnus_incana;(L.) Moench;PL;Alnuinca;Alnus_incana;tree;wood;P;NA;NA;NA;NA;7;NA;yes;no;NA;NA;NA;no;15;NA
Cornus_sanguinea;L.;PL;Cornsang;Cornus_sanguinea;tree;wood;N;NA;NA;NA;7;5;NA;no;no;NA;NA;NA;no;2;NA
Crataegus_monogyna;Jacq.;PL;Cratmono;Crataegus_monogyna;tree;wood;N,P;NA;NA;NA;7;4;4;no;no;NA;NA;NA;no;1;NA
Euonymus_europaeus;L.;PL;Euoneuro;Euonymus_europaeus;tree;wood;N;NA;NA;NA;6;5;5;no;no;NA;NA;NA;no;1;NA
Fraxinus_excelsior;L.;PL;Fraxexce;Fraxinus_excelsior;tree;wood;P;NA;NA;NA;NA;NA;7;no;no;NA;NA;NA;no;13;NA
Lonicera_xylosteum;L.;PL;Lonixylo;Lonicera_xylosteum;tree;wood;N;NA;NA;NA;5;5;6;no;no;NA;NA;NA;no;1;NA
Picea_abies;(L.) H.Karst.;PL;Piceabie;Picea_abies;tree;wood;P;NA;NA;NA;NA;NA;NA;no;no;NA;NA;NA;no;3;NA
Prunus_padus;L.;PL;Prunpadu;Prunus_padus;tree;wood;P,N;NA;NA;NA;NA;8;6;yes;no;NA;NA;NA;no;1;NA
Salix_alba;L.;PL;Salialba;Salix_alba;tree;wood;P;NA;NA;NA;NA;8;7;yes;no;NA;NA;NA;no;3;NA
Salix_alba_x_eleagnos;na;PL;Salialxel;Salix_alba_x_eleagnos;tree;wood;NA;NA;NA;NA;NA;NA;NA;no;no;NA;NA;NA;NA;5;NA
Salix_eleagnos;Scop.;PL;Salielea;Salix_eleagnos;tree;wood;N;NA;NA;NA;7;7;4;no;yes;NA;NA;NA;no;2;NA
Ulmus_glabra;Huds.;PL;Ulmuglab;Ulmus_glabra;tree;wood;P;NA;NA;NA;NA;6;7;no;no;NA;NA;NA;no;7;NA
Acer_pseudoplatanus;L.;PL;Acerpseu;Acer_pseudoplatanus;shrub;wood;P;NA;NA;NA;4;6;7;no;no;NA;NA;NA;no;5;NA
Alnus_incana;(L.) Moench;PL;Alnuinca;Alnus_incana;shrub;wood;P;NA;NA;NA;6;7;NA;yes;no;NA;NA;NA;no;8;NA
Cornus_sanguinea;L.;PL;Cornsang;Cornus_sanguinea;shrub;wood;N;NA;NA;NA;7;5;NA;no;no;NA;NA;NA;no;12;NA
Corylus_avellana;L.;PL;Coryavel;Corylus_avellana;shrub;wood;N;NA;NA;NA;6;NA;5;no;no;NA;NA;NA;no;1;NA
Crataegus_monogyna;Jacq.;PL;Cratmono;Crataegus_monogyna;shrub;wood;N,P;NA;NA;NA;7;4;4;no;no;NA;NA;NA;no;7;NA
Daphne_mezereum;L.;PL;Daphmeze;Daphne_mezereum;shrub;wood;N,Z;NA;NA;NA;4;5;5;no;no;BG;NA;NA;no;1;NA
Fraxinus_excelsior;L.;PL;Fraxexce;Fraxinus_excelsior;shrub;wood;P;NA;NA;NA;4;NA;7;no;no;NA;NA;NA;no;10;NA
Ligustrum_vulgare;L.;PL;Liguvulg;Ligustrum_vulgare;shrub;wood;N;NA;NA;NA;7;4;3;no;no;NA;NA;NA;no;5;NA
